alert_text,mdc_source,physioid,mdc_alert,alert_code,alert_kind,severity,source_label,source_description
CO2 Overrange,MDC_AWAY_CO2,151724,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Unable To Meas,MDC_AWAY_CO2,151724,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Svc Required,MDC_AWAY_CO2,151724,NOM_EVT_ADVIS_SVC_REQD,61864,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Unplugged,MDC_AWAY_CO2,151724,NOM_EVT_STAT_DISCONN,6256,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
** awRR High,MDC_AWAY_RESP_RATE,151570,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,awRR ,Airway Respiration Rate 
** awRR Low,MDC_AWAY_RESP_RATE,151570,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,awRR ,Airway Respiration Rate 
*** Apnea,MDC_AWAY_RESP_RATE,151570,NOM_EVT_APNEA,3072,Alarm,RED_ALARM,awRR ,Airway Respiration Rate 
** etCO2 High,MDC_AWAY_CO2_ET,151728,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,etCO2 ,End-Tidal CO2 Concentration 
** etCO2 Low,MDC_AWAY_CO2_ET,151728,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,etCO2 ,End-Tidal CO2 Concentration 
***etCO2 High,MDC_AWAY_CO2_ET,151728,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,etCO2 ,End-Tidal CO2 Concentration 
***etCO2 Low,MDC_AWAY_CO2_ET,151728,NOM_EVT_EXTR_LO,61832,Alarm,RED_ALARM,etCO2 ,End-Tidal CO2 Concentration 
** imCO2 High,MDC_AWAY_CO2_INSP_MIN,151738,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,imCO2 ,Inspired Minimum CO2 
***imCO2 High,MDC_AWAY_CO2_INSP_MIN,151738,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,imCO2 ,Inspired Minimum CO2 
!! imCO2  High,MDC_AWAY_CO2_INSP_MIN,151738,NOM_EVT_EXT_DEV_AL_CODE_66,61964,INOP,YELLOW_ALARM,imCO2 ,Inspired Minimum CO2 
** IPI Low,NOM_INTEGRATED_PULM_INDEX,195124,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,IPI ,Integrated Pulmonary Index
IPI Check Pat. Age,NOM_INTEGRATED_PULM_INDEX,195124,NOM_EVT_ADVIS_PAT_AGE_CHK,62082,INOP,HARD_INOP,IPI ,Integrated Pulmonary Index
IPI Check Sources,NOM_INTEGRATED_PULM_INDEX,195124,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,HARD_INOP,IPI ,Integrated Pulmonary Index
IPI Neo Patient ?,NOM_INTEGRATED_PULM_INDEX,195124,NOM_EVT_PAT_TYPE_UNSUPPORTED,62042,INOP,HARD_INOP,IPI ,Integrated Pulmonary Index
** CPP High,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,CPP ,Cerebral Perfusion Pressure 
** CPP Low,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,CPP ,Cerebral Perfusion Pressure 
CPP Chk Sources,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,HARD_INOP,CPP ,Cerebral Perfusion Pressure 
CPP Chk Units,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_ADVIS_UNIT_CHK,6710,INOP,SOFT_INOP,CPP ,Cerebral Perfusion Pressure 
CPP Deactivated,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_ADVIS_DEACT,61798,INOP,HARD_INOP,CPP ,Cerebral Perfusion Pressure 
CPP Disabled,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_DISABLED,61924,INOP,HARD_INOP,CPP ,Cerebral Perfusion Pressure 
Overrange,MDC_PRESS_CEREB_PERF,153604,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,CPP ,Cerebral Perfusion Pressure 
No PPV from <MMS / FMS>,NOM_PULS_PRESS_VAR,192739,NOM_EVT_SRC_ABSENT,174,INOP,SOFT_INOP,PPV ,Pulse Pressure Variation 
PPV bad <Pressure Label> Signal,NOM_PULS_PRESS_VAR,192739,NOM_EVT_SIG_UNANALYZEABLE,384,INOP,SOFT_INOP,PPV ,Pulse Pressure Variation 
PPV Chk Sources,NOM_PULS_PRESS_VAR,192739,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,SOFT_INOP,PPV ,Pulse Pressure Variation 
Sp-vO2 Chk Sources,NOM_SAT_DIFF_O2_ART_VEN,192620,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,SOFT_INOP,Sp-vO2 ,Difference between SpO2 and SvO2 
Sp-vO2 Chk Units,NOM_SAT_DIFF_O2_ART_VEN,192620,NOM_EVT_ADVIS_UNIT_CHK,6710,INOP,SOFT_INOP,Sp-vO2 ,Difference between SpO2 and SvO2 
SVR Chk Sources,MDC_RES_VASC_SYS,150312,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,SOFT_INOP,SVR ,Systemic Vascular Resistance 
SVR Chk Units,MDC_RES_VASC_SYS,150312,NOM_EVT_ADVIS_UNIT_CHK,6710,INOP,SOFT_INOP,SVR ,Systemic Vascular Resistance 
SVR Set CVP Used,MDC_RES_VASC_SYS,150312,NOM_EVT_ADVIS_PRESUMED_CVP,61762,INOP,SOFT_INOP,SVR ,Systemic Vascular Resistance 
** SVR LOW,MDC_RES_VASC_SYS,150312,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,SVR ,Systemic Vascular Resistance 
** SVR HIGH,MDC_RES_VASC_SYS,150312,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,SVR ,Systemic Vascular Resistance 
SVRI Chk Sources,MDC_RES_VASC_SYS_INDEX,149760,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,SOFT_INOP,SVRI ,Systemic Vascular Resistance Index 
SVRI Chk Units,MDC_RES_VASC_SYS_INDEX,149760,NOM_EVT_ADVIS_UNIT_CHK,6710,INOP,SOFT_INOP,SVRI ,Systemic Vascular Resistance Index 
SVRI Set CVP Used,MDC_RES_VASC_SYS_INDEX,149760,NOM_EVT_ADVIS_PRESUMED_CVP,61762,INOP,SOFT_INOP,SVRI ,Systemic Vascular Resistance Index 
** SVRI LOW,MDC_RES_VASC_SYS_INDEX,149760,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,SVRI ,Systemic Vascular Resistance Index 
** SVRI HIGH,MDC_RES_VASC_SYS_INDEX,149760,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,SVRI ,Systemic Vascular Resistance Index 
ΔSpO2 Chk Sources,MDC_PULS_OXIM_SAT_O2_DIFF,150468,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,SOFT_INOP,DSpO2 ,Difference between two SpO2 Values (like Left - Right) 
ΔSpO2 Chk Units,MDC_PULS_OXIM_SAT_O2_DIFF,150468,NOM_EVT_ADVIS_UNIT_CHK,6710,INOP,SOFT_INOP,DSpO2 ,Difference between two SpO2 Values (like Left - Right) 
ΔTemp Chk Sources,MDC_TEMP_DIFF,188440,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,SOFT_INOP,DTemp ,Difference Temperature Label 
ΔTemp Chk Units,MDC_TEMP_DIFF,188440,NOM_EVT_ADVIS_UNIT_CHK,6710,INOP,SOFT_INOP,DTemp ,Difference Temperature Label 
!! ECG Leads Off,MDC_ECG_ELEC_POTL,131328,NOM_EVT_LEADS_OFF,274,INOP,YELLOW_ALARM,ECG ,Electrocardiogram 
ECG Equip Malf,MDC_ECG_ELEC_POTL,131328,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,ECG ,Electrocardiogram 
ECG Noisy Signal,MDC_ECG_ELEC_POTL,131328,NOM_EVT_SIG_NOISY,74,INOP,HARD_INOP,ECG ,Electrocardiogram 
ECG Upgrade,MDC_ECG_ELEC_POTL,131328,NOM_EVT_STAT_FW_UPDATE_IN_PROGRESS,61688,INOP,SOFT_INOP,ECG ,Electrocardiogram 
Cannot Analyze ECG,MDC_ECG_ELEC_POTL,131328,NOM_EVT_SIG_UNANALYZEABLE,384,INOP,HARD_INOP,ECG ,Electrocardiogram 
Tele ECG Malfunct.,MDC_ECG_ELEC_POTL,131328,NOM_EVT_TELE_EQUIP_MALF,61874,INOP,HARD_INOP,ECG ,Electrocardiogram 
Invalid Leadset,MDC_ECG_ELEC_POTL,131328,NOM_EVT_ADVIS_LEAD_CHK,6690,INOP,HARD_INOP,ECG ,Electrocardiogram 
Leadset Unplugged,MDC_ECG_ELEC_POTL,131328,NOM_EVT_LEADS_DISCONN,61844,INOP,HARD_INOP,ECG ,Electrocardiogram 
* Nurse Call,MDC_ECG_ELEC_POTL,131328,NOM_EVT_ADVIS_NURSE_CALL,61802,Alarm,SHORT_YELLOW_ALARM,ECG ,Electrocardiogram 
ECG Cable Malf,MDC_ECG_ELEC_POTL,131328,NOM_EVT_CABLE_MALF,61866,INOP,HARD_INOP,ECG ,Electrocardiogram 
!!ECG/Ar AlarmsOff,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_STAT_ECG_AL_ALL_OFF,6182,INOP,YELLOW_ALARM,HR ,Heart Rate 
* AFIB,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_ATR_FIB,61896,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* End AFIB,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_ATR_FIB_END,62080,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* End Irregular HR,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_CARD_BEAT_RATE_IRREG_END,62078,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* HR High,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_HI,40,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* HR Low,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_LO,62,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* Irregular HR,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_CARD_BEAT_RATE_IRREG,3158,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* Missed Beat,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_BEAT_MISSED,3078,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* Pacer Not Capt,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_PACING_NON_CAPT,3102,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* Pacer Not Pacing,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_PACER_NOT_PACING,3182,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* Pause,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_PAUSE,3108,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
* SVT,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_SV_TACHY,3192,Alarm,SHORT_YELLOW_ALARM,HR ,Heart Rate 
*** Asystole,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_ASYSTOLE,3076,Alarm,RED_ALARM,HR ,Heart Rate 
*** Extreme Brady,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_BRADY_EXTREME,3086,Alarm,RED_ALARM,HR ,Heart Rate 
*** Extreme Tachy,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_TACHY_EXTREME,3122,Alarm,RED_ALARM,HR ,Heart Rate 
*** Vent Fib/Tach,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_ECG_V_FIB_TACHY,61444,Alarm,RED_ALARM,HR ,Heart Rate 
ECG Unplugged,MDC_ECG_CARD_BEAT_RATE,147842,NOM_EVT_STAT_DISCONN,6256,INOP,HARD_INOP,HR ,Heart Rate 
* Multiform PVCs,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_P_C_MULTIFOCAL,3208,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* Non-Sustain VT,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_TACHY_NON_SUST,3226,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* Pair PVCs,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_P_C_PAIR,3210,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* PVCs/min High,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_P_C_RATE,3252,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* R-on-T PVCs,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_P_C_RonT,3206,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* Run PVCs High,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_P_C_RUN,3212,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* Vent Bigeminy,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_BIGEM,3082,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* Vent Rhythm,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_RHY,3220,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
* Vent Trigeminy,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_TRIGEM,3236,Alarm,SHORT_YELLOW_ALARM,PVC ,Premature Ventricular Counted Beats 
*** VTach,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_ECG_V_TACHY,3224,Alarm,RED_ALARM,PVC ,Premature Ventricular Counted Beats 
Some ECG AlarmsOff,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_STAT_ECG_AL_SOME_OFF,6184,INOP,SOFT_INOP,PVC ,Premature Ventricular Counted Beats 
All ECG Alarms Off,MDC_ECG_V_P_C_CNT,148065,NOM_EVT_STAT_ECG_AL_ALL_OFF,6182,INOP,HARD_INOP,PVC ,Premature Ventricular Counted Beats 
** QTc High,MDC_ECG_TIME_PD_QTc,147236,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,QTc ,QT Interval corrected for rate 
** ΔQTc High,NOM_ECG_TIME_PD_QTc_DELTA,192854,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,dQTc ,Delta QTc 
Cannot Analyze QT,MDC_ECG_TIME_PD_QT_GL,147232,NOM_EVT_SIG_UNANALYZEABLE,384,INOP,SOFT_INOP,QT ,QT Interval 
** <ST Lead> High,MDC_ECG_AMPL_ST_AVF,131904,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-aVF ,ST lead aVF 
** <ST Lead> Low,MDC_ECG_AMPL_ST_AVF,131904,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-aVF ,ST lead aVF 
** <ST Lead> High,MDC_ECG_AMPL_ST_AVL,131903,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-aVL ,ST lead aVL 
** <ST Lead> Low,MDC_ECG_AMPL_ST_AVL,131903,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-aVL ,ST lead aVL 
** <ST Lead> High,MDC_ECG_AMPL_ST_AVR,131902,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-aVR ,ST lead aVR 
** <ST Lead> Low,MDC_ECG_AMPL_ST_AVR,131902,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-aVR ,ST lead aVR 
** <ST Lead> High,MDC_ECG_AMPL_ST_I,131841,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-I ,ST lead I 
** <ST Lead> Low,MDC_ECG_AMPL_ST_I,131841,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-I ,ST lead I 
** <ST Lead> High,MDC_ECG_AMPL_ST_II,131842,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-II ,ST lead II 
** <ST Lead> Low,MDC_ECG_AMPL_ST_II,131842,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-II ,ST lead II 
** <ST Lead> High,MDC_ECG_AMPL_ST_III,131901,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-III ,ST lead III 
** <ST Lead> Low,MDC_ECG_AMPL_ST_III,131901,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-III ,ST lead III 
** <ST Lead> High,MDC_ECG_AMPL_ST_MCL,131915,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-MCL ,ST lead MCL 
** <ST Lead> Low,MDC_ECG_AMPL_ST_MCL,131915,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-MCL ,ST lead MCL 
** <ST Lead> High,MDC_ECG_AMPL_ST_V,131907,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V ,ST lead V 
