Group,REFID,CF_CODE10,Standard_Table,Systematic Name,Common Term,Acronym,Term Description,PART,CODE10,Description,DisplayName,Vendor_UOM,UOM_MDC,UOM_UCUM,Enum_Values,External_Sites,Vendor_ID,Vendor_Status,Vendor_Sort,Vendor_Comment,Vendor_VMD,Vendor_Discussion,General_Discussion,Tags
CVS_ECG_ST,MDC_ECG_AMPL_ST_AVR,131902,,,,,,2,830,"ST lead aVR",ST-aVR,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,110,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_AVL,131903,,,,,,2,831,"ST lead aVL",ST-aVL,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,120,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_AVF,131904,,,,,,2,832,"ST lead aVF",ST-aVF,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,130,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V,131927,,"","","","",2,855,"ST lead V",ST-V,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,140,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_MCL,131931,,"","","","",2,859,"ST lead MCL",ST-MCL,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,150,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_ES,131971,,"","","","",2,899,"ST lead ES",ST-ES,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,160,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_AS,131972,,"","","","",2,900,"ST lead AS",ST-AS,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,170,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_AI,131973,,"","","","",2,901,"ST lead AI",ST-AI,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,180,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_QT,MDC_ECG_TIME_PD_QT_GL,147232,,"Duration | ECG, QT | Heart | CVS","Q-T interval","QT","Duration of the interval between the QRS onset and T wave offset of ECG (global)",2,16160,"QT interval",QT," ",MDC_DIM_MILLI_SEC,ms,,,Philips,S,190,""," ",,,
CVS_ECG_QT,MDC_ECG_TIME_PD_QTc,147236,,"Duration | ECG, QTc | Heart | CVS","Q-T c","QTc","Duration of the interval between the QRS onset and T wave offset, related to heart rate 60 beats per minute of ECG (global), Bazett formula",2,16164,"QT interval corrected for rate",QTc," ",MDC_DIM_MILLI_SEC,ms,,,Philips,S,200,""," ",,,
CVS_ECG_HR,MDC_ECG_CARD_BEAT_RATE,147842,"A.7.2.1","","","","",2,16770,"Heart Rate",HR,"bpm",MDC_DIM_BEAT_PER_MIN,/min 1/min {beats}/min {beat}/min,,,Philips,S,210,"","PHYSIO_SRC_ID_HR",,,
CVS_ECG_HR,MDC_ECG_CARD_BEAT_RATE_BTB,147850,,"","","","",2,16778,"Cardiac Beat -to-Beat Rate. Delivered by the ECG",btbHR," ",MDC_DIM_BEAT_PER_MIN,/min 1/min {beats}/min {beat}/min,,,Philips,S,220,"","PHYSIO_SRC_ID_HR",,,
CVS_ECG_RHY,MDC_ECG_V_P_C_CNT,148065,,"","","","",2,16993,"Premature Ventricular Counted Beats. PVC",PVC,"bpm",MDC_DIM_BEAT,{beat} {beats} 1,,,Philips,S,230,"","PHYSIO_SRC_ID_Arrhy",,,
CVS_HEMO_IBP_PR,MDC_PULS_RATE,149514,,"Rate |  | Pulse | Blood, CVS","Pulse rate","PR","Rate of blood pulse in an artery",2,18442,"Pulse Rate",Pulse,"bpm",MDC_DIM_BEAT_PER_MIN MDC_DIM_PER_MIN MDC_DIM_PULS_PER_MIN,/min 1/min {beats}/min {beat}/min /min 1/min {count}/min /min 1/min {pulses}/min {pulse}/min,,_BODY_SITE_PR ,Philips,S,240,"","PHYSIO_SRC_ID_Pulse",,,
BLD_GAS_SpO2_PR,MDC_PULS_OXIM_PULS_RATE,149530,,"","","","",2,18458,"Pulse Rate from Plethysmogram",Pulse,"bpm",MDC_DIM_BEAT_PER_MIN MDC_DIM_PER_MIN MDC_DIM_PULS_PER_MIN,/min 1/min {beats}/min {beat}/min /min 1/min {count}/min /min 1/min {pulses}/min {pulse}/min,,_BODY_SITE_SPO2 ,Philips,S,250,"","PHYSIO_SRC_ID_Pulse",,,
CVS_HEMO_CALC_RESI,MDC_RES_VASC_SYS_INDEX,149760,,"Resistance | Difference(SystemicAndPulmonary) | Flow | Blood, CVS","Systemic vascular resistance indexed","SVRI","Difference between systemic and pulmonary resistance",2,18688,"Systemic Vascular Resistance Index",SVRI," ",MDC_DIM_DYNE_SEC_M_SQ_PER_CM_5,dyn.s.cm-5.m2 dyn.s.m2/cm5,,,Philips,S,260,"","PHYSIO_SRC_ID_UNSPEC",,,
CVS_HEMO_CALC_WKSI,MDC_WK_LV_STROKE_INDEX,149764,"A.7.3.1","Index | | Work, PerStroke, PerSurfaceArea | LeftVentricle, CVS","Left Ventricular Stroke Work Index","LVSWI","Work of left ventricle of the heart in one cardiac cycle and related to body surface area (LVSW/BSA)",2,18692,"Left Ventricular Stroke Volume Index {work?}",LVSWI," ",MDC_DIM_G_FORCE_M_PER_M_SQ MDC_DIM_KILO_G_FORCE_M_PER_M_SQ,gf.m/m2 kgf.m/m2,,,Philips,S,270,"","PHYSIO_SRC_ID_UNSPEC",,,
CVS_HEMO_CALC_WKSI,MDC_WK_RV_STROKE_INDEX,150644,"A.7.3.1","Index | | Work, PerStroke, PerSurfaceArea | RightVentricle, CVS","Right Ventricular Stroke Work Index","RVSWI","Work of right ventricle of the heart in one cardiac cycle and related to body surface area (RVSW/BSA)",2,19572,"Right Ventricular Stroke Work Index",RVSWI," ",MDC_DIM_G_FORCE_M_PER_M_SQ MDC_DIM_KILO_G_FORCE_M_PER_M_SQ,gf.m/m2 kgf.m/m2,,,Philips,S,280,"","PHYSIO_SRC_ID_UNSPEC",,,
CVS_HEMO_CALC_COI,MDC_OUTPUT_CARD_INDEX,149772,,"Index | PerMinute | Volume | Blood, LeftVentricle, CVS","Cardiac index","CI","Quantity of blood pumped by the left ventricle into the aorta per minute and divided by the body surface area (CO/BSA)",2,18700,"Cardiac Index",C.I.,"l/min/m2",MDC_DIM_L_PER_MIN_PER_M_SQ,L/min/m2,,,Philips,S,290,"","PHYSIO_SRC_ID_CO",,,
CVS_HEMO_IBP,MDC_PRESS_BLD,150016,,"Pressure |  | Blood | CVS","Blood pressure","BP","Pressure of the blood",2,18944,"unspecific pressure",P,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,300,"","PHYSIO_SRC_ID_P",,,
CVS_HEMO_IBP,MDC_PRESS_BLD_SYS,150017,,"Pressure | Systolic | Blood | CVS","Systolic blood pressure","","Pressure of the blood at the systolic phase",2,18945,"unspecific pressure (systolic)",Ps,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,310,"","PHYSIO_SRC_ID_P",,,
CVS_HEMO_IBP,MDC_PRESS_BLD_DIA,150018,,"Pressure | Diastolic | Blood | CVS","Diastolic blood pressure","","Pressure of the blood at the diastolic phase",2,18946,"unspecific pressure (diastolic)",Pd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,320,"","PHYSIO_SRC_ID_P",,,
CVS_HEMO_IBP,MDC_PRESS_BLD_MEAN,150019,,"Pressure | Mean | Blood | CVS","Mean blood pressure","","Pressure of the blood as computed by averaging on one cycle",2,18947,"unspecific pressure (mean)",Pm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,330,"","PHYSIO_SRC_ID_P",,,
CVS_HEMO_NBP,MDC_PRESS_BLD_NONINV,150020,,"","","","",2,18948,"Non-invasive blood pressure",NBP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,_BODY_SITE_NBP_BP ,Philips,S,340,"","PHYSIO_SRC_ID_NBP",,,
CVS_HEMO_NBP,MDC_PRESS_BLD_NONINV_SYS,150021,,"Pressure | Noninvasive, Systolic | Blood | CVS","Noninvasive systolic blood pressure","","Pressure of the blood, obtained noninvasively (i.e., fingertip), at the systolic phase",2,18949,"Non-invasive blood pressure (systolic)",NBPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,350,"","PHYSIO_SRC_ID_NBP",,,
CVS_HEMO_NBP,MDC_PRESS_BLD_NONINV_DIA,150022,,"Pressure | Noninvasive, Diastolic | Blood | CVS","Noninvasive diastolic blood pressure","","Pressure of the blood, obtained noninvasively (i.e., fingertip), at the diastolic phase",2,18950,"Non-invasive blood pressure (diastolic)",NBPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,_BODY_SITE_NBP_BP ,Philips,S,360,"","PHYSIO_SRC_ID_NBP",,,
CVS_HEMO_NBP,MDC_PRESS_BLD_NONINV_MEAN,150023,,"Pressure | Noninvasive, Mean | Blood | CVS","Noninvasive mean blood pressure","","Pressure of the blood, obtained noninvasively (i.e., fingertip), as computed by averaging on one cycle",2,18951,"Non-invasive blood pressure (mean)",NBPm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,370,"","PHYSIO_SRC_ID_NBP",,,
CVS_HEMO_IBP_Ao,MDC_PRESS_BLD_AORT,150028,,"Pressure |  | Blood | Aorta, CVS","Aortic pressure","AP","Pressure of the blood in the aorta",2,18956,"Arterial Blood Pressure in the Aorta (Ao)",Ao,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,380,"","PHYSIO_SRC_ID_Ao",,,
CVS_HEMO_IBP_Ao,MDC_PRESS_BLD_AORT_SYS,150029,,"Pressure | Systolic | Blood | Aorta, CVS","Systolic aortic pressure","","Systolic pressure of the blood in the aorta",2,18957,"Ao (systolic)",AoS,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,390,"","PHYSIO_SRC_ID_Ao",,,
CVS_HEMO_IBP_Ao,MDC_PRESS_BLD_AORT_DIA,150030,,"","","","",2,18958,"Ao (diastolic)",AoD,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,400,"","PHYSIO_SRC_ID_Ao",,,""
CVS_HEMO_IBP_Ao,MDC_PRESS_BLD_AORT_MEAN,150031,,"Pressure | Mean | Blood | Artery, CVS","Mean aortic pressure","","Mean pressure of the blood in the aorta",2,18959,"Ao (mean)",AoM,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,410,"","PHYSIO_SRC_ID_Ao",,,
CVS_HEMO_IBP_ART,MDC_PRESS_BLD_ART,150032,,"Pressure |  | Blood | Artery, CVS","Arterial pressure","ABP","Pressure of the blood in an artery",2,18960,"Arterial Blood Pressure (ART)",ART,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,420,"","PHYSIO_SRC_ID_ART",,,
CVS_HEMO_IBP_ART,MDC_PRESS_BLD_ART_SYS,150033,,"Pressure | Systolic | Blood | Artery, CVS","Systolic arterial pressure","","Systolic pressure of the blood in an artery",2,18961,"ART (systolic)",ARTs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,430,"","PHYSIO_SRC_ID_ART",,,
CVS_HEMO_IBP_ART,MDC_PRESS_BLD_ART_DIA,150034,,"Pressure |  | Blood | CentralVein, CVS","Diastolic arterial pressure","","Diastolic pressure of the blood in an artery",2,18962,"ART (diastalic)",ARTd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,440,"","PHYSIO_SRC_ID_ART",,,
CVS_HEMO_IBP_ART,MDC_PRESS_BLD_ART_MEAN,150035,,"Pressure | Mean | Blood | Aorta, CVS","Mean arterial pressure","","Mean pressure of the blood in an artery",2,18963,"ART (mean)",ARTm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,450,"","PHYSIO_SRC_ID_ART",,,
CVS_HEMO_IBP_ABP,MDC_PRESS_BLD_ART_ABP,150036,,"","","","",2,18964,"Arterial Blood Pressure (ABP)",ABP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,460,"","PHYSIO_SRC_ID_ABP",,,
CVS_HEMO_IBP_ABP,MDC_PRESS_BLD_ART_ABP_SYS,150037,,"","","","",2,18965,"ABP (systolic)",ABPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,470,"","PHYSIO_SRC_ID_ABP",,,
CVS_HEMO_IBP_ABP,MDC_PRESS_BLD_ART_ABP_DIA,150038,,"","","","",2,18966,"ABP (diastolic)",ABPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,480,"","PHYSIO_SRC_ID_ABP",,,
CVS_HEMO_IBP_ABP,MDC_PRESS_BLD_ART_ABP_MEAN,150039,,"","","","",2,18967,"ABP (mean)",ABPm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,490,"","PHYSIO_SRC_ID_ABP",,,
CVS_HEMO_IBP_PAP,MDC_PRESS_BLD_ART_PULM,150044,,"Pressure |  | Blood | PulmonaryArtery, CVS","Pulmonary arterial pressure","PAP","Pressure of the blood in the pulmonary artery",2,18972,"Pulmonary Arterial Pressure (PAP)",PAP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,500,"","PHYSIO_SRC_ID_PAP",,,
CVS_HEMO_IBP_PAP,MDC_PRESS_BLD_ART_PULM_SYS,150045,,"Pressure | Systolic | Blood | PulmonaryArtery, CVS","Systolic pulmonary arterial pressure","","Systolic pressure of the blood in the pulmonary artery",2,18973,"PAP (systolic)",PAPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,510,"","PHYSIO_SRC_ID_PAP",,,
CVS_HEMO_IBP_PAP,MDC_PRESS_BLD_ART_PULM_DIA,150046,,"Pressure | Diastolic | Blood | PulmonaryArtery, CVS","Diastolic pulmonary arterial pressure","","Diastolic pressure of the blood in the pulmonary artery",2,18974,"PAP (diastolic)",PAPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,520,"","PHYSIO_SRC_ID_PAP",,,
CVS_HEMO_IBP_PAP,MDC_PRESS_BLD_ART_PULM_MEAN,150047,,"Pressure | Mean | Blood | PulmonaryArtery, CVS","Mean pulmonary arterial pressure","","Mean pressure of the blood in the pulmonary artery",2,18975,"PAP (mean)",PAPm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,530,"","PHYSIO_SRC_ID_PAP",,,
CVS_HEMO_IBP_PAWP,MDC_PRESS_BLD_ART_PULM_WEDGE,150052,,"Pressure |  | Blood | MarginalBranch, RightCoronaryArtery, Heart, CVS","Pulmonary artery wedge pressure","PAW","Pressure of the blood measured by a catheter wedged into a small branch of the pulmonary artery",2,18980,"Pulmonary Artery Wedge Pressure",PAWP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,540,"","PHYSIO_SRC_ID_PAWP",,,
CVS_HEMO_IBP_UAP,MDC_PRESS_BLD_ART_UMB,150056,,"Pressure |  | Blood | UmbilicalArtery, CVS","Umbilical pressure","UP","Pressure of the blood in the umbilical arteries of a fetus",2,18984,"Umbilical Arterial Pressure (UAP)",UAP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,550,"","PHYSIO_SRC_ID_UAP",,,
CVS_HEMO_IBP_UAP,MDC_PRESS_BLD_ART_UMB_SYS,150057,,"Pressure | Systolic | Blood | UmbilicalArtery, CVS","Systolic umbilical arterial pressure","","Systolic pressure of the blood in the umbilical arteries of a fetus",2,18985,"UAP (systollic)",UAPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,560,"","PHYSIO_SRC_ID_UAP",,,
CVS_HEMO_IBP_UAP,MDC_PRESS_BLD_ART_UMB_DIA,150058,,"Pressure | Diastolic | Blood | UmbilicalArtery, CVS","Diastolic umbilical arterial pressure","","Diastolic pressure of the blood in the umbilical arteries of a fetus",2,18986,"UAP (diastolic)",UAPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,570,"","PHYSIO_SRC_ID_UAP",,,
CVS_HEMO_IBP_UAP,MDC_PRESS_BLD_ART_UMB_MEAN,150059,,"Pressure | Mean | Blood | UmbilicalArtery, CVS","Mean umbilical arterial pressure","","Mean pressure of the blood in the umbilical arteries of a fetus",2,18987,"UAP (mean)",UAPm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,580,"","PHYSIO_SRC_ID_UAP",,,
CVS_HEMO_IBP_LAP,MDC_PRESS_BLD_ATR_LEFT,150064,,"Pressure |  | Blood | LeftAtrium, CVS","Left atrial pressure","LAP","Pressure of the blood in the left atrium of the heart",2,18992,"Left Atrial Pressure (LAP)",LAP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,590,"","PHYSIO_SRC_ID_LAP",,,
CVS_HEMO_IBP_LAP,MDC_PRESS_BLD_ATR_LEFT_SYS,150065,,"Pressure | Systolic | Blood | LeftAtrium, CVS","Systolic left atrial pressure","","Systolic pressure of the blood in the left atrium of the heart",2,18993,"LAP (systolic)",LAPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,600,"","PHYSIO_SRC_ID_LAP",,,
CVS_HEMO_IBP_LAP,MDC_PRESS_BLD_ATR_LEFT_DIA,150066,,"Pressure | Diastolic | Blood | LeftAtrium, CVS","Diastolic left atrial pressure","","Diastolic pressure of the blood in the left atrium of the heart",2,18994,"LAP (diastolic)",LAPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,610,"","PHYSIO_SRC_ID_LAP",,,
CVS_HEMO_IBP_LAP,MDC_PRESS_BLD_ATR_LEFT_MEAN,150067,,"Pressure | Mean | Blood | LeftAtrium, CVS","Mean left atrial pressure","","Mean pressure of the blood in the left atrium of the heart",2,18995,"LAP (mean)",LAPm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,620,"","PHYSIO_SRC_ID_LAP",,,
CVS_HEMO_IBP_RAP,MDC_PRESS_BLD_ATR_RIGHT,150068,,"Pressure |  | Blood | RightAtrium, CVS","Right atrial pressure","RAP","Pressure of the blood in the right atrium of the heart",2,18996,"Right Atrial Pressure (RAP)",RAP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,630,"","PHYSIO_SRC_ID_RAP",,,
CVS_HEMO_IBP_RAP,MDC_PRESS_BLD_ATR_RIGHT_SYS,150069,,"Pressure | Systolic | Blood | RightAtrium, CVS","Systolic right atrial pressure","","Systolic pressure of the blood in the right atrium of the heart",2,18997,"RAP (systolic)",RAPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,640,"","PHYSIO_SRC_ID_RAP",,,
CVS_HEMO_IBP_RAP,MDC_PRESS_BLD_ATR_RIGHT_DIA,150070,,"Pressure | Diastolic | Blood | RightAtrium, CVS","Diastolic right atrial pressure","","Diastolic pressure of the blood in the right atrium of the heart",2,18998,"RAP (diastolic)",RAPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,650,"","PHYSIO_SRC_ID_RAP",,,
CVS_HEMO_IBP_RAP,MDC_PRESS_BLD_ATR_RIGHT_MEAN,150071,,"Pressure | Mean | Blood | RightAtrium, CVS","Mean right atrial pressure","","Mean pressure of the blood in the right atrium of the heart",2,18999,"RAP (mean)",RAPm,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,660,"","PHYSIO_SRC_ID_RAP",,,
CVS_HEMO_IBP_PCAP,MDC_PRESS_BLD_PULM_CAP,150076,,"Pressure |  | Blood | PulmonaryCapillary, CVS","Pulmonary capillary blood pressure","PCP","Pressure of the blood in the pulmonary capillaries",2,19004,"Pulmonary capilary systemic pressure",PCP,"",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,670,"","",,,
CVS_HEMO_IBP_PCAP,MDC_PRESS_BLD_PULM_CAP_SYS,150077,,"Pressure | Systolic | Blood | PulmonaryCapillary, CVS","Systolic pulmonary capillary pressure","","Systolic pressure of the blood in the pulmonary capillaries",2,19005,"Pulmonary capilary systemic pressure (systolic)",PCPs,"",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,680,"","",,,
CVS_HEMO_IBP_PCAP,MDC_PRESS_BLD_PULM_CAP_DIA,150078,,"Pressure | Diastolic | Blood | PulmonaryCapillary, CVS","Diastolic pulmonary capillary pressure","","Diastolic pressure of the blood in the pulmonary capillaries",2,19006,"Pulmonary capilary systemic pressure (diastolic)",PCPd,"",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,690,"","",,,
CVS_HEMO_IBP_PCAP,MDC_PRESS_BLD_PULM_CAP_MEAN,150079,,"Pressure | Mean | Blood | PulmonaryCapillary, CVS","Mean pulmonary capillary pressure","","Mean pressure of the blood in the pulmonary capillaries",2,19007,"Pulmonary capilary systemic pressure (mean)",PCPm,"",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,700,"","",,,
CVS_HEMO_IBP_CVP,MDC_PRESS_BLD_VEN_CENT,150084,,"Pressure |  | Blood | CentralVein, CVS","Central venous pressure","CVP","Pressure of the blood in the thoracic venae cavae",2,19012,"Central Venous Pressure (CVP)",CVP,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,710,"","PHYSIO_SRC_ID_CVP",,,
CVS_HEMO_IBP_CVP,MDC_PRESS_BLD_VEN_CENT_SYS,150085,,"Pressure | Systolic | Blood | CentralVein, CVS","Systolic central venous pressure","","Systolic pressure of the blood in the thoracic venae cavae",2,19013,"CVP (systolic)",CVPs,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,720,"","PHYSIO_SRC_ID_CVP",,,
CVS_HEMO_IBP_CVP,MDC_PRESS_BLD_VEN_CENT_DIA,150086,,"Pressure | Diastolic | Blood | CentralVein, CVS","Diastolic central venous pressure","","Diastolic pressure of the blood in the thoracic venae cavae",2,19014,"CVP (diastolic)",CVPd,"mmHg/kPa",MDC_DIM_KILO_PASCAL MDC_DIM_MMHG,kPa mm[Hg],,,Philips,S,730,"","PHYSIO_SRC_ID_CVP",,,
